Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],SoC [%],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.0,574.0,37.75,37.0,0.43,0.0,380.6,-18.8,27,28,66.7,1.52,1720.0,0.2,1,24.5,9.5,22.0
0.1,574.0,37.29,36.59,0.43,0.0,380.6,-18.96,27,28,66.7,1.52,1720.0,0.2,1,24.5,9.5,22.0
0.2,574.0,36.98,37.5,0.55,0.0,380.6,-19.16,27,28,66.7,1.52,1720.0,0.2,1,24.5,9.5,22.0
0.3,574.0,37.13,35.91,0.57,0.0,380.6,-18.81,27,28,66.7,1.52,1720.0,0.2,1,24.5,9.5,22.0
0.4,574.0,37.13,34.96,0.67,0.0,380.6,-18.31,27,28,66.7,1.52,1720.0,0.2,1,24.5,9.5,22.0
0.5,574.0,36.98,33.54,0.62,0.0,380.6,-18.67,27,28,66.7,1.52,1730.67,0.2,1,24.5,9.5,22.0
0.6,574.0,36.98,33.41,0.45,0.0,380.6,-19.27,27,28,66.7,1.52,1750.67,0.2,1,24.5,9.5,22.0
0.7,574.0,36.98,31.87,0.43,0.0,380.6,-18.74,27,28,66.7,1.52,1760.0,0.2,1,24.5,9.5,22.0
0.8,574.0,36.96,31.0,0.49,0.0,380.6,-17.89,27,28,66.7,1.52,1760.0,0.2,1,24.5,9.5,22.0
0.9,574.0,36.5,29.96,0.45,0.0,380.6,-17.62,27,28,66.7,1.52,1760.0,0.2,1,24.5,9.5,22.0
1.0,574.0,36.19,29.04,0.52,0.0,380.6,-17.52,27,28,66.7,1.52,1760.0,0.2,1,24.5,9.5,22.0
1.1,574.0,36.05,28.41,0.17,0.0,380.64,-17.23,27,28,66.7,1.52,1760.0,0.2,1,24.5,9.5,22.0
1.2,574.0,35.9,26.5,0.62,0.0,380.69,-16.88,27,28,66.7,1.52,1760.0,0.2,1,24.5,9.5,22.0
1.3,574.0,36.21,26.41,0.46,0.0,380.7,-16.22,27,28,66.7,1.52,1770.66,0.2,1,24.5,9.5,22.0
1.4,574.0,36.83,25.37,0.23,0.0,380.7,-15.47,27,28,66.7,1.52,1790.66,0.2,1,24.5,9.5,22.0
1.5,574.0,36.99,24.96,0.27,0.0,380.7,-16.04,27,28,66.7,1.52,1800.0,0.2,1,24.5,9.5,22.0
1.6,574.0,37.13,26.0,0.37,0.0,380.7,-16.99,27,28,66.7,1.52,1800.0,0.2,1,24.5,9.5,22.0
1.7,574.0,38.09,27.5,0.41,0.0,380.66,-17.16,27,28,66.7,1.52,1800.0,0.2,1,24.5,9.5,22.0
1.8,574.0,38.54,27.59,0.28,0.0,380.61,-17.11,27,28,66.7,1.52,1800.0,0.2,1,24.5,9.5,22.0
1.9,574.0,39.79,30.54,0.1,0.0,380.56,-18.07,27,28,66.7,1.52,1800.0,0.2,1,24.5,9.5,22.0
2.0,574.0,40.55,33.59,0.38,0.0,380.51,-19.32,27,28,66.7,1.52,1800.0,0.2,1,24.5,9.5,22.0
2.1,574.0,40.55,38.04,0.57,0.0,380.42,-21.31,27,28,66.7,1.52,1810.65,0.2,1,24.5,9.5,22.0
2.2,574.0,40.4,42.04,0.65,0.0,380.32,-23.52,27,28,66.7,1.52,1830.65,0.2,1,24.5,9.5,22.0
2.3,574.0,40.4,46.46,0.57,0.0,380.22,-24.12,27,28,66.7,1.52,1840.0,0.2,1,24.5,9.5,22.0
2.4,574.0,40.4,46.59,0.59,0.0,380.12,-24.27,27,28,66.7,1.52,1840.0,0.2,1,24.5,9.5,22.0
2.5,574.0,40.55,49.04,0.67,0.0,380.06,-25.27,27,28,66.7,1.52,1840.0,0.2,1,24.5,9.5,22.0
2.6,574.0,40.86,48.54,0.68,0.0,380.01,-26.52,27,28,66.7,1.52,1840.0,0.2,1,24.5,9.5,22.0
2.7,574.0,44.37,49.59,0.59,0.0,379.88,-28.59,27,28,66.7,1.52,1840.0,0.19,1,24.5,9.5,22.0
2.8,574.0,48.78,54.68,0.7,0.0,379.73,-30.89,27,28,66.7,1.52,1840.0,0.19,1,24.5,9.5,22.0
2.9,574.0,48.44,75.36,1.04,0.0,379.19,-38.88,27,28,66.7,1.52,1840.0,0.19,1,24.5,9.5,22.0
3.0,574.0,48.13,97.91,1.43,0.0,378.54,-48.48,27,28,66.7,1.52,1840.0,0.19,1,24.5,9.5,22.0
3.1,574.0,47.98,106.59,1.51,0.0,378.28,-52.47,27,28,66.66,1.52,1840.0,0.19,1,24.5,9.5,22.0
3.2,574.0,48.3,109.09,1.49,0.0,378.13,-54.87,27,28,66.61,1.52,1840.0,0.19,1,24.5,9.5,22.0
3.3,574.0,48.3,110.45,1.63,0.0,377.94,-56.3,27,28,66.6,1.52,1840.0,0.18,1,24.5,9.5,22.0
3.4,574.0,47.98,110.55,1.63,0.0,377.74,-57.45,27,28,66.6,1.52,1840.0,0.18,1,24.5,9.5,22.0
3.5,574.0,47.97,112.41,1.62,0.0,377.66,-58.87,27,28,66.6,1.52,1840.0,0.18,1,24.5,9.5,22.0
3.6,574.0,47.53,111.41,1.56,0.0,377.61,-60.37,27,28,66.6,1.52,1840.0,0.18,1,24.5,9.5,22.0
3.7,574.0,45.29,108.95,1.47,0.0,377.56,-60.47,27,28,66.6,1.52,1840.0,0.18,1,24.5,9.5,22.0
3.8,574.0,43.65,108.95,1.46,0.0,377.51,-60.17,27,28,66.6,1.52,1840.0,0.18,1,24.5,9.5,22.0
3.9,574.0,44.1,100.23,1.26,0.0,377.66,-57.6,27,28,66.6,1.52,1850.64,0.18,1,24.5,9.5,22.0
4.0,574.0,44.11,90.46,1.03,0.0,377.86,-54.4,27,28,66.6,1.52,1870.63,0.17,1,24.5,9.5,22.0
4.1,574.0,44.75,87.45,1.03,0.0,377.94,-53.74,27,28,66.6,1.52,1880.0,0.17,1,24.5,9.5,22.0
4.2,574.0,44.88,83.91,1.15,0.0,377.99,-53.79,27,28,66.6,1.52,1880.0,0.17,1,24.5,9.5,22.0
4.3,574.0,45.2,85.86,0.82,0.0,377.96,-52.98,27,28,66.6,1.52,1880.0,0.17,1,24.5,9.5,22.0
4.4,574.0,45.85,80.09,1.14,0.0,377.91,-51.93,27,28,66.6,1.52,1880.0,0.17,1,24.5,9.5,22.0
4.5,574.0,46.28,81.09,1.09,0.0,377.86,-53.34,27,28,66.6,1.52,1880.0,0.17,1,24.5,9.5,22.0
4.6,574.0,47.08,83.55,1.07,0.0,377.81,-55.44,27,28,66.6,1.52,1880.0,0.16,1,24.5,9.5,22.0
4.7,574.0,48.97,83.09,0.99,0.0,377.64,-57.65,27,28,66.6,1.52,1890.63,0.16,1,24.5,9.5,22.0
4.8,574.0,50.63,87.55,1.06,0.0,377.44,-59.9,27,28,66.6,1.52,1910.63,0.16,1,24.5,9.5,22.0
4.9,574.0,52.05,94.09,1.37,0.0,377.09,-65.12,27,28,66.6,1.52,1920.0,0.16,1,24.5,9.5,22.0
5.0,574.0,52.33,101.02,1.54,0.0,376.69,-71.17,27,28,66.6,1.52,1920.0,0.17,1,24.5,9.5,22.0
5.1,574.0,52.8,110.0,1.45,0.0,376.41,-75.31,27,28,66.6,1.52,1920.0,0.17,1,24.5,9.5,22.0
5.2,574.0,54.2,112.45,1.62,0.0,376.16,-78.91,27,28,66.6,1.52,1920.0,0.18,1,24.5,9.5,22.0
5.3,574.0,57.0,113.98,1.56,0.0,375.75,-84.11,27,28,66.6,1.52,1920.0,0.18,1,24.5,9.5,22.0
5.4,574.0,56.68,120.57,1.81,0.0,375.3,-89.76,27,28,66.6,1.52,1920.0,0.19,1,24.5,9.5,22.02
5.5,574.0,57.0,130.98,1.96,0.0,374.97,-94.59,27,28,66.6,1.52,1930.42,0.19,1,24.5,9.5,22.04
5.6,574.0,57.0,135.47,2.29,0.0,374.67,-99.19,27,28,66.6,1.52,1950.42,0.2,1,24.5,9.5,22.05
5.7,574.0,57.6,131.0,2.03,0.0,374.4,-101.99,27,28,66.6,1.52,1960.0,0.2,1,24.5,9.5,22.07
5.8,574.0,57.43,133.52,2.1,0.0,374.15,-104.29,27,28,66.6,1.52,1960.0,0.2,1,24.5,9.5,22.09
