Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],SoC [%],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.0,513.0,0.0,0.0,0.04,0.0,374.5,-5.9,4.0,4.0,52.6,0.68,1440.0,0,1,2.0,5.0,10.0
0.1,513.0,0.0,0.0,0.05,0.0,374.48,-5.85,4.0,4.0,52.6,0.68,1440.0,0,1,2.0,5.0,10.0
0.2,513.0,0.0,0.0,0.05,0.0,374.38,-5.65,4.0,4.0,52.6,0.68,1463.67,0,1,2.0,5.0,10.0
0.3,513.0,0.0,0.0,0.05,0.0,374.3,-5.65,4.0,4.0,52.6,0.68,1563.66,0,1,2.0,5.0,10.0
0.4,513.0,0.0,0.0,0.09,0.0,374.3,-6.3,4.0,4.0,52.6,0.68,1663.66,0,1,2.0,5.0,10.0
0.5,513.0,0.0,0.0,0.09,0.0,374.28,-6.74,4.0,4.0,52.6,0.68,1763.65,0,1,2.0,5.0,10.0
0.6,513.0,0.0,0.0,0.08,0.0,374.18,-6.49,4.0,4.0,52.6,0.68,1868.38,0,1,2.0,5.0,10.0
0.7,513.0,0.0,0.0,0.07,0.0,374.1,-6.46,4.0,4.0,52.6,0.68,1988.37,0,1,2.0,5.0,10.0
0.8,513.0,0.0,0.0,0.06,0.0,374.1,-7.16,4.0,4.0,52.6,0.68,2103.64,0,1,2.0,5.0,10.0
0.9,513.0,0.0,0.0,0.06,0.0,374.08,-7.75,4.0,4.0,52.6,0.68,2203.63,0,1,2.0,5.0,10.0
1.0,513.0,0.0,0.0,0.06,0.0,373.98,-7.95,4.0,4.0,52.6,1.72,2303.63,0,1,2.0,5.0,10.0
1.1,513.0,0.0,0.0,0.06,0.0,373.89,-8.12,4.0,4.0,52.6,1.72,2403.62,0,1,2.0,5.0,10.0
1.2,513.0,0.0,0.0,0.06,0.0,373.84,-8.22,4.0,4.0,52.6,1.72,2503.61,0,1,2.0,5.0,10.0
1.3,513.0,0.0,0.0,0.06,0.0,373.79,-8.48,4.0,4.0,52.6,1.72,2603.6,0,1,2.0,5.0,10.0
1.4,513.0,0.0,0.0,0.07,0.0,373.74,-9.23,4.0,4.0,52.6,1.72,2708.32,0,1,2.0,5.0,10.0
1.5,513.0,0.0,0.0,0.11,0.0,373.68,-9.67,4.0,4.0,52.6,1.72,2828.31,0,1,2.0,5.0,10.0
1.6,513.0,0.0,0.0,0.06,0.0,373.58,-9.12,4.0,4.0,52.6,1.72,2943.59,0,1,2.0,5.0,10.0
1.7,513.0,0.0,0.0,0.1,0.0,373.5,-8.92,4.0,4.0,52.6,1.72,3043.58,0,1,2.0,5.0,10.0
1.8,513.0,0.0,0.0,0.09,0.0,373.5,-9.82,4.0,4.0,52.6,1.72,3143.57,0,1,2.0,5.0,10.0
1.9,513.0,0.0,0.0,0.04,0.0,373.46,-10.42,4.0,4.0,52.6,1.72,3243.56,0,1,2.0,5.0,10.0
2.0,513.0,0.0,0.0,0.05,0.0,373.31,-10.07,4.0,4.0,52.6,2.68,3343.56,0,1,2.0,5.0,10.0
2.1,513.0,0.0,0.0,0.05,0.0,373.21,-10.05,4.0,4.0,52.6,2.68,3443.55,0,1,2.0,5.0,10.0
2.2,513.0,0.0,0.0,0.04,0.0,373.26,-11.1,4.0,4.0,52.6,2.68,3548.26,0,1,2.0,5.0,10.0
2.3,513.0,0.0,0.0,0.03,0.0,373.26,-11.76,4.0,4.0,52.6,2.68,3668.25,0,1,2.0,5.0,10.0
2.4,513.0,0.0,0.0,0.05,0.0,373.11,-11.16,4.0,4.0,52.6,2.68,3783.54,0,1,2.0,5.0,10.0
2.5,513.0,0.0,0.0,0.07,0.0,373.0,-10.88,4.0,4.0,52.6,2.68,3883.53,0,1,2.0,5.0,10.0
2.6,513.0,0.0,0.0,0.06,0.0,373.0,-11.63,4.0,4.0,52.6,2.68,3983.52,0,1,2.0,5.0,10.0
2.7,513.0,0.0,0.0,0.05,0.0,372.98,-12.22,4.0,4.0,52.6,2.68,4083.51,0,1,2.0,5.0,10.0
2.8,513.0,0.0,0.0,0.05,0.0,372.88,-12.32,4.0,4.0,52.6,2.68,4183.51,0,1,2.0,5.0,10.0
2.9,513.0,0.0,0.0,0.04,0.0,372.8,-12.52,4.0,4.0,52.6,2.68,4283.5,0,1,2.0,5.0,10.0
3.0,513.0,0.0,0.0,0.07,0.0,372.8,-13.02,4.0,4.0,52.6,3.8,4388.2,0,1,2.0,5.0,10.0
3.1,513.0,0.0,0.0,0.07,0.0,372.78,-13.45,4.0,4.0,52.6,3.8,4508.19,0,1,2.0,5.0,10.0
3.2,513.0,0.0,0.0,0.07,0.0,372.68,-13.65,4.0,4.0,52.6,3.8,4623.49,0,1,2.0,5.0,10.0
3.3,513.0,0.0,0.0,0.07,0.0,372.59,-13.82,4.0,4.0,52.6,3.8,4723.48,0,1,2.0,5.0,10.0
3.4,513.0,0.0,0.0,0.05,0.0,372.54,-13.92,4.0,4.0,52.6,3.8,4823.47,0,1,2.0,5.0,10.0
3.5,513.0,0.0,0.0,0.08,0.0,372.48,-14.18,4.0,4.0,52.6,3.8,4923.46,0,1,2.0,5.0,10.0
3.6,513.0,0.0,0.0,0.05,0.0,372.38,-14.93,4.0,4.0,52.6,3.8,5023.46,0,1,2.0,5.0,10.0
3.7,513.0,0.0,0.0,0.05,0.0,372.29,-15.46,4.0,4.0,52.6,3.8,5123.45,0,1,2.0,5.0,10.0
3.8,513.0,0.0,0.0,0.09,0.0,372.24,-15.31,4.0,4.0,52.6,3.8,5228.14,0,1,2.0,5.0,10.0
3.9,513.0,0.0,0.0,0.07,0.0,372.19,-15.37,4.0,4.0,52.6,3.8,5348.13,0,1,2.0,5.0,10.0
4.0,513.0,0.0,0.0,0.05,0.0,372.14,-16.07,4.0,4.0,52.6,4.84,5463.44,0,1,2.0,5.0,10.0
4.1,513.0,0.0,0.0,0.05,0.0,372.09,-16.52,4.0,4.0,52.6,4.84,5563.43,0,1,2.0,5.0,10.0
