Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],dSoC [%p],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
0.1,437.0,0.0,0.0,-0.35,0.0,389.9,-1.59,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
0.2,437.0,0.0,0.0,-0.37,0.0,389.9,-1.49,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
0.3,437.0,0.0,0.0,-0.33,0.0,389.9,-1.41,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
0.4,437.0,0.0,0.0,-0.3,0.0,389.9,-1.46,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
0.5,437.0,0.0,0.0,-0.32,0.0,389.9,-1.5,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
0.6,437.0,0.0,0.0,-0.32,0.0,389.9,-1.5,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
0.7,437.0,0.0,0.0,-0.34,0.0,389.9,-1.51,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
0.8,437.0,0.0,0.0,-0.33,0.0,389.9,-1.56,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
0.9,437.0,0.0,0.0,-0.3,0.0,389.9,-1.59,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.0,437.0,0.0,0.0,-0.3,0.0,389.9,-1.54,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.1,437.0,0.0,0.0,-0.31,0.0,389.9,-1.49,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.2,437.0,0.0,0.0,-0.36,0.0,389.9,-1.44,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.3,437.0,0.0,0.0,-0.36,0.0,389.9,-1.4,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.4,437.0,0.0,0.0,-0.36,0.0,389.9,-1.4,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.5,437.0,0.0,0.0,-0.34,0.0,389.9,-1.41,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.6,437.0,0.0,0.0,-0.33,0.0,389.9,-1.46,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.7,437.0,0.0,0.0,-0.29,0.0,389.9,-1.51,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.8,437.0,0.0,0.0,-0.31,0.0,389.9,-1.56,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
1.9,437.0,0.0,0.0,-0.29,0.0,389.9,-1.59,13.0,14.0,-0.010000000000005116,0.0,0.0,0.0,1,6.5,12.5,12.84
2.0,437.0,0.0,0.0,-0.34,0.0,389.9,-1.54,13.0,14.0,-0.04999999999999716,0.0,0.0,0.0,1,6.5,12.5,12.84
2.1,437.0,0.0,0.0,-0.33,0.0,389.9,-1.49,13.0,14.0,-0.03999999999999204,0.0,0.0,0.0,1,6.5,12.5,12.84
2.2,437.0,0.0,0.0,-0.35,0.0,389.9,-1.44,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
2.3,437.0,0.0,0.0,-0.32,0.0,389.9,-1.4,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
2.4,437.0,0.0,0.0,-0.33,0.0,389.9,-1.4,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
2.5,437.0,0.0,0.0,-0.36,0.0,389.9,-1.41,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
2.6,437.0,0.0,0.0,-0.35,0.0,389.9,-1.46,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
2.7,437.0,0.0,0.0,-0.31,0.0,389.9,-1.5,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
2.8,437.0,0.0,0.0,-0.34,0.0,389.9,-1.5,13.0,14.0,0.0,0.0,0.0,0.0,1,6.5,12.5,12.84
